"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_166","","hypothetical protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_1845","","hypothetical protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_1846","","hypothetical protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_1848","","hypothetical protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_1849","","hypothetical protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_1851","","hypothetical protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_1854","","hypothetical protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_1855","","hypothetical protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_1861","","Type-F conjugative transfer system pilin assembly protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_1862","","Signal peptidase, peptidase S26","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_1863","","hypothetical protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_1864","","Type IV conjugative transfer system lipoprotein (TraV)","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_1865","","OmpA family protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_309","","hypothetical protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_399","","Transcriptional regulator AcaB","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_400","","Conjugative relaxosome accessory transposon protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_401","","hypothetical protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"traC","","Protein TraC","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_536","","hypothetical protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_537","","Putative helicase","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"topB","","DNA topoisomerase 3","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_751","","hypothetical protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_752","","Ferredoxin-like domain in Api92-like protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_753","","hypothetical protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_754","","hypothetical protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"dsbC_1","","putative thiol:disulfide interchange protein DsbC","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_756","","TraK protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_757","","TraE protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_758","","hypothetical protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
"group_957","","Bacterial conjugation TrbI-like protein","165","116","133","5","55.369127516778526","4.132231404958678","0.05347420274824993","1.1886989382088018e-18","4.185408961433191e-15","5.655958055990798e-17","1","1","1","1.0","1.0"
