,0
628,group_3554
629,group_2896
630,group_3823
631,group_3536
632,group_3834
633,group_3793
634,group_153
635,group_2439
636,group_3517
637,group_3800
638,group_476
639,group_2704
640,group_3561
641,group_3824
642,group_2820
643,apxIB_2
644,group_3308
645,group_3797
646,group_3835
647,group_2319
648,group_2479
649,group_2946
650,group_2598
651,group_1601
652,group_1669
653,group_226
654,group_3140
655,group_3555
656,group_3819
657,group_349
658,group_985
659,group_3821
660,group_1458
661,group_455
662,group_352
663,group_70
664,group_3808
665,group_3149
666,group_2452
667,group_2386
668,group_1126
669,group_2044
670,group_1330
671,group_3610
672,group_2567
673,group_2914
674,group_3839
675,group_2658
676,group_1860
677,pilE_7
678,group_1689
679,group_2587
680,group_356
681,group_555
682,group_2724
683,group_789
684,group_621
685,group_581
686,group_1886
687,group_2581
688,group_2951
689,group_3840
690,group_270
691,group_651
692,group_2964
693,group_2514
694,group_2521
695,group_909
696,group_3095
697,group_1467
698,group_2431
699,traC_2
700,group_1449
701,group_2684
702,group_3818
703,group_3612
704,group_1876
705,group_3389
706,group_2913
707,group_3842
708,pilE1_1
709,group_3843
710,group_977
711,group_937
712,group_655
713,group_943
714,group_2517
715,group_2160
716,group_1546
717,group_2582
718,group_3817
719,group_1968
720,group_158
721,group_980
722,hpnE
723,rsmD
724,group_3249
725,group_3155
726,group_2727
727,group_1438
728,group_2589
729,group_2332
730,group_410
731,group_1651
732,group_1674
733,group_3841
734,group_3820
735,group_3430
736,group_1663
737,group_43
738,group_3374
739,group_1572
740,group_2849
741,group_2633
742,group_3168
743,group_2948
744,group_997
745,pilY1_2
746,group_1001
747,group_2433
748,group_2636
749,group_1856
750,group_2758
751,group_1257
752,group_3165
753,group_1573
754,group_2590
755,group_3377
756,group_2061
757,group_2518
758,group_3160
759,group_614
760,group_1914
761,ygaZ
762,group_51
763,group_1678
764,group_2723
765,group_3560
766,group_3167
767,group_2993
768,group_274
769,group_2757
770,group_2269
771,group_1540
772,group_3378
773,group_2898
774,group_946
775,group_2586
776,group_2131
777,group_2952
778,group_3611
779,group_363
780,group_2615
781,group_2784
782,group_1545
783,group_2591
784,group_3375
785,group_3107
786,group_1009
787,group_3169
788,group_3115
789,group_1762
790,group_965
791,pilE_3
792,group_3357
793,group_1616
794,group_2909
795,group_2310
796,group_3156
797,group_2338
798,group_2608
799,rnr
800,group_1809
801,group_1590
802,group_1432
803,group_1535
804,group_2910
805,group_3807
806,group_3164
807,group_1578
808,group_1953
809,group_3106
810,group_3396
811,group_3113
812,group_3161
813,group_2911
814,group_3153
815,yhdE
816,epsL_1
817,group_2755
818,group_3110
819,group_1502
820,group_1038
821,pilE_5
822,group_65
823,group_81
824,group_1649
825,group_3055
826,group_3391
827,group_1328
828,group_2908
829,group_2674
830,group_3105
831,group_2780
832,group_1474
833,group_2442
834,group_464
835,group_40
836,group_17
837,group_3392
838,group_3158
839,group_1580
840,group_929
841,group_3729
842,group_3124
843,group_3613
844,group_3111
845,group_994
846,group_2290
847,group_2781
848,group_2785
849,group_3152
850,group_1568
851,group_2537
852,group_639
853,group_2487
854,group_273
855,group_3041
856,group_2334
857,group_1461
858,group_3813
859,group_3166
860,group_3372
861,group_2778
862,group_3112
863,group_3609
864,group_3535
865,group_634
866,group_1691
867,pilE1
868,group_3009
869,group_2356
870,group_3157
871,group_2697
872,group_1655
873,group_45
874,group_1618
875,group_2519
876,group_3588
877,lex1
878,group_2737
879,pyrI
880,group_657
881,group_642
882,group_1478
883,group_3584
884,group_161
885,group_3037
886,group_3528
887,group_2358
888,group_2706
889,group_225
890,group_146
891,group_3587
892,pilE_13
893,group_3064
894,group_2640
895,group_1182
896,group_2627
897,group_959
898,group_956
899,group_1756
900,group_3116
901,group_2637
902,group_1584
903,group_3776
904,group_906
905,group_1625
906,group_3200
907,group_3373
908,group_3301
909,group_3038
910,group_3359
911,group_3585
912,group_1003
913,group_3844
914,group_3399
915,ybiT_2
916,group_3117
917,group_536
918,group_3777
919,group_77
920,group_3601
921,group_3778
922,group_2214
923,group_2720
924,group_3586
925,group_3199
926,group_3040
927,group_2458
928,group_3293
929,group_3358
930,group_3845
931,group_3602
932,group_931
933,group_2538
934,tetM
935,group_3418
936,group_3423
937,group_3108
938,group_2835
939,group_3371
940,xanQ_2
941,group_2698
942,group_1638
943,group_1686
944,group_3039
945,group_2052
946,group_2459
947,group_2610
948,group_2899
949,group_3109
950,group_3303
951,group_3846
952,group_3417
953,aroF
954,group_3603
955,group_2501
956,aplIM_2
957,group_3294
958,group_1471
959,group_1468
960,group_3537
961,group_2834
962,tnpR
963,group_3419
964,group_1505
965,group_96
966,prmC_2
967,group_2372
968,group_3583
969,group_2672
970,group_2729
971,pilE1_7
972,group_3728
973,group_3713
974,group_2550
975,group_2715
976,group_3035
977,group_549
978,group_2443
979,group_2797
980,group_2845
981,group_417
982,group_448
983,group_1484
984,group_3538
985,group_1475
986,group_3122
987,group_3582
988,group_3599
989,group_2555
990,group_2660
991,group_399
992,group_2646
993,group_3714
994,group_3730
995,group_3416
996,group_3224
997,group_3032
998,folP
999,group_2840
1000,group_1525
1001,parA_1
1002,speE_1
1003,group_3420
1004,group_2467
1005,group_513
1006,group_3410
1007,group_1466
1008,group_97
1009,group_1000
1010,group_3074
1011,group_300
1012,group_3123
1013,adhA_1
1014,group_2842
1015,group_3408
1016,group_2699
1017,group_2561
1018,group_2554
1019,group_942
1020,group_2846
1021,glcA
1022,group_2346
1023,group_3058
1024,group_3402
1025,group_754
1026,group_2491
1027,group_3076
1028,group_2994
1029,gatC
1030,group_3618
1031,group_1487
1032,group_960
